family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L5X5X0.75,11211,LRFD1,4,modern
2L,2L5X5X0.875,11210,LRFD1,4,modern
2L,2L5X5X1/2,972,15th,5,modern
2L,2L5X5X1/2X3/4,974,15th,5,modern
2L,2L5X5X1/2X3/8,973,15th,5,modern
2L,2L5X5X3/4,966,15th,5,modern
2L,2L5X5X3/4X3/4,968,15th,5,modern
2L,2L5X5X3/4X3/8,967,15th,5,modern
2L,2L5X5X3/8,978,15th,5,modern
2L,2L5X5X3/8X3/4,980,15th,5,modern
2L,2L5X5X3/8X3/8,979,15th,5,modern
2L,2L5X5X5/16,981,15th,5,modern
2L,2L5X5X5/16X3/4,983,15th,5,modern
2L,2L5X5X5/16X3/8,982,15th,5,modern
2L,2L5X5X5/8,969,15th,4,modern
2L,2L5X5X5/8X3/4,971,15th,4,modern
2L,2L5X5X5/8X3/8,970,15th,4,modern
2L,2L5X5X7/16,975,15th,4,modern
2L,2L5X5X7/16X3/4,977,15th,4,modern
2L,2L5X5X7/16X3/8,976,15th,4,modern
2L,2L5X5X7/8,963,15th,5,modern
2L,2L5X5X7/8X3/4,965,15th,5,modern
2L,2L5X5X7/8X3/8,964,15th,5,modern
2L,2L6X3-1/2X1/2SLBB,1377,15th,4,modern
2L,2L6X3-1/2X1/2X3/4SLBB,1379,15th,4,modern
2L,2L6X3-1/2X1/2X3/8SLBB,1378,15th,4,modern
2L,2L6X3-1/2X3/8SLBB,1380,15th,5,modern
2L,2L6X3-1/2X3/8X3/4SLBB,1382,15th,5,modern
2L,2L6X3-1/2X3/8X3/8SLBB,1381,15th,5,modern
2L,2L6X3-1/2X5/16SLBB,1383,15th,5,modern
2L,2L6X3-1/2X5/16X3/4SLBB,1385,15th,5,modern
2L,2L6X3-1/2X5/16X3/8SLBB,1384,15th,5,modern
2L,2L6X3.5X0.25,13619,ASD7,1,modern
2L,2L6X3.5X0.3125,11262,LRFD1,4,modern
2L,2L6X3.5X0.375,11261,LRFD1,4,modern
2L,2L6X3.5X0.5,13616,ASD7,1,modern
2L,2L6X4X0.25,13615,ASD7,1,modern
2L,2L6X4X0.3125,13614,ASD7,1,modern
2L,2L6X4X0.375,11259,LRFD1,4,modern
2L,2L6X4X0.4375,13612,ASD7,1,modern
2L,2L6X4X0.5,11258,LRFD1,4,modern
2L,2L6X4X0.5625,13610,ASD7,1,modern
2L,2L6X4X0.75,11256,LRFD1,4,modern
2L,2L6X4X0.875,13607,ASD7,1,modern
2L,2L6X4X1/2SLBB,1365,15th,5,modern
2L,2L6X4X1/2X3/4SLBB,1367,15th,5,modern
2L,2L6X4X1/2X3/8SLBB,1366,15th,5,modern
2L,2L6X4X3/4SLBB,1356,15th,5,modern
2L,2L6X4X3/4X3/4SLBB,1358,15th,5,modern
2L,2L6X4X3/4X3/8SLBB,1357,15th,5,modern
2L,2L6X4X3/8SLBB,1371,15th,5,modern
2L,2L6X4X3/8X3/4SLBB,1373,15th,5,modern
2L,2L6X4X3/8X3/8SLBB,1372,15th,5,modern
2L,2L6X4X5/16SLBB,1374,15th,4,modern
2L,2L6X4X5/16X3/4SLBB,1376,15th,4,modern
2L,2L6X4X5/16X3/8SLBB,1375,15th,4,modern
2L,2L6X4X5/8SLBB,1359,15th,5,modern
2L,2L6X4X5/8X3/4SLBB,1361,15th,5,modern
2L,2L6X4X5/8X3/8SLBB,1360,15th,5,modern
2L,2L6X4X7/16SLBB,1368,15th,4,modern
2L,2L6X4X7/16X3/4SLBB,1370,15th,4,modern
2L,2L6X4X7/16X3/8SLBB,1369,15th,4,modern
2L,2L6X4X7/8SLBB,1353,15th,4,modern
2L,2L6X4X7/8X3/4SLBB,1355,15th,4,modern
2L,2L6X4X7/8X3/8SLBB,1354,15th,4,modern
2L,2L6X4X9/16SLBB,1362,15th,4,modern
2L,2L6X4X9/16X3/4SLBB,1364,15th,4,modern
2L,2L6X4X9/16X3/8SLBB,1363,15th,4,modern
2L,2L6X6X0.375,11208,LRFD1,3,modern
2L,2L6X6X0.5,11207,LRFD1,3,modern
2L,2L6X6X0.625,11206,LRFD1,3,modern
2L,2L6X6X0.75,11205,LRFD1,3,modern
2L,2L6X6X0.875,11204,LRFD1,3,modern
2L,2L6X6X1,936,15th,9,modern
2L,2L6X6X1/2,951,15th,5,modern
2L,2L6X6X1/2X3/4,953,15th,5,modern
2L,2L6X6X1/2X3/8,952,15th,5,modern
2L,2L6X6X1X3/4,938,15th,5,modern
2L,2L6X6X1X3/8,937,15th,5,modern
2L,2L6X6X3/4,942,15th,5,modern
2L,2L6X6X3/4X3/4,944,15th,5,modern
2L,2L6X6X3/4X3/8,943,15th,5,modern
2L,2L6X6X3/8,957,15th,5,modern
2L,2L6X6X3/8X3/4,959,15th,5,modern
2L,2L6X6X3/8X3/8,958,15th,5,modern
2L,2L6X6X5/16,960,15th,4,modern
2L,2L6X6X5/16X3/4,962,15th,4,modern
2L,2L6X6X5/16X3/8,961,15th,4,modern
2L,2L6X6X5/8,945,15th,5,modern
2L,2L6X6X5/8X3/4,947,15th,5,modern
2L,2L6X6X5/8X3/8,946,15th,5,modern
2L,2L6X6X7/16,954,15th,4,modern
2L,2L6X6X7/16X3/4,956,15th,4,modern
2L,2L6X6X7/16X3/8,955,15th,4,modern
2L,2L6X6X7/8,939,15th,5,modern
2L,2L6X6X7/8X3/4,941,15th,5,modern
